NAME,PRICE,Description
"realme 12x 5G (Twilight Purple, 128 GB)  (6 GB RAM)","₹12,999","The Realme 12x 5G is a sleek powerhouse redefining mobile technology. Swift charging meets endurance with 45 W SUPERVOOC Charge and a 5000 mAh battery, ensuring you're always connected. The Dimensity 6100+ 6nm chipset delivers lightning-fast 5G speeds for seamless connectivity wherever you are. Immerse yourself in the 12.07 cm (6.72) 120 Hz FHD+ Display, offering crystal-clear visuals with its ultra-smooth refresh rate. Style meets substance with its ultra-slim 7.69 mm profile and lightweight 188g body. Capture life's moments in stunning detail with the 50 MP AI camera, while the vapour chamber cooling system keeps performance optimal. Elevate your audio experience with dual stereo speakers, delivering Hi-Res Audio certification for immersive sound. The Realme 12x 5G: where innovation meets elegance in the palm of your hand."
"realme P1 5G (Phoenix Red, 128 GB)  (8 GB RAM)","₹16,999",NA
"Motorola G34 5G (Ocean Green, 128 GB)  (8 GB RAM)","₹11,999","Look no further than the amazing Moto G34 5G smartphone, which is built to improve performance and add sophistication to your life. Powered by the LPDDR4X RAM and the Snapdragon 695 5G octa-core CPU, the Moto G34 5G offers the performance needed to fully utilise 5G networks. The Moto G34 5G sticks out with its slim, elegant, and light design. There's a vegan leather special edition for an added bit of refinement. Take incredibly clear and vibrant pictures with the sophisticated 50 MP Quad Pixel camera with Image Auto Enhance, the Quad pixel camera system helps you take stunning pictures even in dim lighting. Plus it comes with advanced 16 MP Selfie Camera."
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)  (6 GB RAM)","₹9,490","The Samsung Galaxy F14 smartphone uses a segment-only 5nm processor that enables you with easy multitasking, gaming, and much more. It has a 6000 mAh battery that will last you for up to 2 days on a single charge. Thanks to the 5G connectivity, you can enjoy high speed browsing on this smartphone. It has a large display of about 16.72 cm (6.5) full HD+ display that enables you with immersive viewing. The 12 GB of RAM with RAM Plus offers enough storage space to store all your data. This smartphone’s OS updates and security updates keeps you updated and protected."
"POCO M6 Pro 5G (Forest Green, 128 GB)  (6 GB RAM)","₹9,999","This Poco M6 Pro 5G is a resourceful smartphone helping you to carry out a horde of tasks effortlessly. Equipped with a 4nm Snapdragon processor, Turbo RAM for quick multitasking, 50 MP Dual AI Camera, and 5000 mAh mammoth battery capacity, this phone can be your best companion for all your voyages. It has a premium glass design that comes in a 16.24 cm (6.79) display and has a 90 Hz refresh rate for seamless navigation. "
"Apple iPhone 15 (Blue, 128 GB)","₹63,999","Experience the iPhone 15 – your dynamic companion. Dynamic Island ensures you stay connected, bubbling up alerts seamlessly while you're busy. Its durable design features infused glass and aerospace-grade aluminum, making it dependable and resistant to water and dust. Capture life with precision using the 48 MP Main Camera, perfect for any shot. Powered by the A16 Bionic Processor, it excels in computational photography and more, all while conserving battery life. Plus, it's USB-C compatible, simplifying your charging needs. Elevate your tech game with the iPhone 15 – innovation at your fingertips. Goodbye cable clutter, hello convenience."
"Apple iPhone 15 (Black, 128 GB)","₹63,999","Experience the iPhone 15 – your dynamic companion. Dynamic Island ensures you stay connected, bubbling up alerts seamlessly while you're busy. Its durable design features infused glass and aerospace-grade aluminum, making it dependable and resistant to water and dust. Capture life with precision using the 48 MP Main Camera, perfect for any shot. Powered by the A16 Bionic Processor, it excels in computational photography and more, all while conserving battery life. Plus, it's USB-C compatible, simplifying your charging needs. Elevate your tech game with the iPhone 15 – innovation at your fingertips. Goodbye cable clutter, hello convenience."
"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB)  (4 GB RAM)","₹11,999","The Samsung Galaxy F15 is a pinnacle of mobile brilliance, featuring a vibrant sAMOLED display for an immersive visual journey. Experience unmatched battery endurance, lasting up to two days, and revel in four years of hassle-free performance with a powerful MediaTek Dimensity 6100+ and up to 12 GB of RAM. Silence background sounds with noise cancellation, seamlessly share across devices, and enjoy superfast 5G speeds. Capture every detail with the 50 MP triple camera setup and have fun with the front-facing camera's creative features. Fortify your security with the Samsung Knox Vault Chipset and personalise your experience with Smart UI features. The Galaxy F15 redefines smartphone excellence in a compact and versatile package, catering to every aspect of a modern, connected lifestyle."
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)  (6 GB RAM)","₹9,490","The Samsung Galaxy F14 smartphone uses a segment-only 5nm processor that enables you with easy multitasking, gaming, and much more. It has a 6000 mAh battery that will last you for up to 2 days on a single charge. Thanks to the 5G connectivity, you can enjoy high speed browsing on this smartphone. It has a large display of about 16.72 cm (6.5) full HD+ display that enables you with immersive viewing. The 12 GB of RAM with RAM Plus offers enough storage space to store all your data. This smartphone’s OS updates and security updates keeps you updated and protected."
"Motorola G34 5G (Charcoal Black, 128 GB)  (8 GB RAM)","₹11,999","Look no further than the amazing Moto G34 5G smartphone, which is built to improve performance and add sophistication to your life. Powered by the LPDDR4X RAM and the Snapdragon 695 5G octa-core CPU, the Moto G34 5G offers the performance needed to fully utilise 5G networks. The Moto G34 5G sticks out with its slim, elegant, and light design. There's a vegan leather special edition for an added bit of refinement. Take incredibly clear and vibrant pictures with the sophisticated 50 MP Quad Pixel camera with Image Auto Enhance, the Quad pixel camera system helps you take stunning pictures even in dim lighting. Plus it comes with advanced 16 MP Selfie Camera."
